Adj Close,Close,High,Low,Open,Volume
GOOG,GOOG,GOOG,GOOG,GOOG,GOOG
1168.3900146484375,1168.3900146484375,1186.8900146484375,1163.199951171875,1177.030029296875,1479900
1181.4100341796875,1181.4100341796875,1183.47998046875,1171.0,1176.7099609375,1068900
1211.3800048828125,1211.3800048828125,1213.0400390625,1191.530029296875,1191.530029296875,1408100
1204.9300537109375,1204.9300537109375,1212.0150146484375,1202.52197265625,1208.1300048828125,1072100
1204.4100341796875,1204.4100341796875,1220.0,1192.6199951171875,1204.0,1471900
1206.0,1206.0,1210.0,1194.5799560546875,1195.1500244140625,1260100
1220.1700439453125,1220.1700439453125,1222.5999755859375,1202.199951171875,1203.4100341796875,1307000
1234.25,1234.25,1241.8599853515625,1223.02001953125,1224.300048828125,1725900
1239.56005859375,1239.56005859375,1240.8800048828125,1227.010009765625,1231.3499755859375,1301400
1231.300048828125,1231.300048828125,1239.56005859375,1225.6099853515625,1229.52001953125,1053300
1229.1500244140625,1229.1500244140625,1235.0,1223.68994140625,1230.4000244140625,955100
1232.4100341796875,1232.4100341796875,1235.6099853515625,1216.530029296875,1227.510009765625,1135100
1238.7099609375,1238.7099609375,1244.43994140625,1232.02001953125,1232.06005859375,996000
1229.9300537109375,1229.9300537109375,1243.3199462890625,1223.0799560546875,1233.1199951171875,2270000
1234.030029296875,1234.030029296875,1239.0899658203125,1224.1700439453125,1226.0,1062400
1218.760009765625,1218.760009765625,1246.739990234375,1210.6800537109375,1240.0,1583200
1246.52001953125,1246.52001953125,1248.300048828125,1210.0899658203125,1215.8199462890625,1453000
1241.3900146484375,1241.3900146484375,1245.0,1232.2679443359375,1241.9599609375,1538000
1225.0899658203125,1225.0899658203125,1244.02001953125,1214.449951171875,1243.010009765625,1353900
1219.0,1219.0,1226.0,1212.300048828125,1220.969970703125,1404100
1205.0999755859375,1205.0999755859375,1231.22998046875,1203.5799560546875,1219.0,1273500
1176.6300048828125,1176.6300048828125,1196.97998046875,1171.2900390625,1196.97998046875,1615100
1187.8299560546875,1187.8299560546875,1189.06005859375,1162.4300537109375,1180.0,1621200
1209.0,1209.0,1211.43994140625,1189.1700439453125,1191.8900146484375,1162400
1207.6800537109375,1207.6800537109375,1218.2039794921875,1203.75,1204.4000244140625,842900
1189.1300048828125,1189.1300048828125,1206.0799560546875,1189.010009765625,1197.5899658203125,1039300
1202.31005859375,1202.31005859375,1208.3499755859375,1197.6300048828125,1199.3499755859375,867700
1208.6700439453125,1208.6700439453125,1215.0,1197.3399658203125,1198.5799560546875,846600
1215.449951171875,1215.449951171875,1228.3900146484375,1213.739990234375,1222.2099609375,1272700
1217.1400146484375,1217.1400146484375,1226.3299560546875,1211.760009765625,1212.3399658203125,867500
1243.010009765625,1243.010009765625,1247.3299560546875,1220.4000244140625,1220.4000244140625,1381700
1243.6400146484375,1243.6400146484375,1254.739990234375,1238.449951171875,1241.1700439453125,1094600
1253.0699462890625,1253.0699462890625,1263.324951171875,1249.93994140625,1250.9300537109375,952400
1245.489990234375,1245.489990234375,1258.8900146484375,1241.0799560546875,1253.4599609375,1352800
1246.1500244140625,1246.1500244140625,1254.6290283203125,1240.5999755859375,1252.260009765625,1027200
1242.800048828125,1242.800048828125,1250.5999755859375,1241.3800048828125,1247.8499755859375,1023800
1259.1300048828125,1259.1300048828125,1259.8900146484375,1242.3599853515625,1242.3599853515625,911500
1260.989990234375,1260.989990234375,1264.0,1253.7149658203125,1260.9000244140625,1028100
1265.1300048828125,1265.1300048828125,1269.5999755859375,1250.010009765625,1251.030029296875,1213100
1290.0,1290.0,1299.31005859375,1272.5400390625,1275.449951171875,2613200
1262.6199951171875,1262.6199951171875,1281.5899658203125,1257.2120361328125,1276.22998046875,1886400
1261.2900390625,1261.2900390625,1269.3599853515625,1252.0,1252.969970703125,1408900
1260.1099853515625,1260.1099853515625,1267.6700439453125,1250.843017578125,1261.280029296875,1455700
1273.739990234375,1273.739990234375,1274.6199951171875,1260.5,1265.0,1670100
1291.3699951171875,1291.3699951171875,1294.1300048828125,1276.35498046875,1276.449951171875,1501000
1292.030029296875,1292.030029296875,1298.9300537109375,1291.22900390625,1292.8900146484375,1282700
1291.800048828125,1291.800048828125,1293.72998046875,1282.5,1289.4599609375,1153000
1308.8599853515625,1308.8599853515625,1323.739990234375,1294.2449951171875,1294.280029296875,2030000
1311.3699951171875,1311.3699951171875,1318.0,1304.364990234375,1305.280029296875,1251400
1299.18994140625,1299.18994140625,1306.425048828125,1297.4100341796875,1303.1800537109375,1011900
1298.800048828125,1298.800048828125,1310.0,1295.77001953125,1300.0,1085900
1298.0,1298.0,1304.300048828125,1293.510009765625,1294.0699462890625,826700
1311.4599609375,1311.4599609375,1317.0,1295.6500244140625,1297.5,1193500
1334.8699951171875,1334.8699951171875,1334.8800048828125,1314.280029296875,1318.93994140625,1782600
1320.699951171875,1320.699951171875,1335.529052734375,1317.5,1332.219970703125,1487400
1315.4599609375,1315.4599609375,1327.699951171875,1312.800048828125,1327.699951171875,1269200
1303.050048828125,1303.050048828125,1315.0,1291.1500244140625,1311.739990234375,1308600
1301.3499755859375,1301.3499755859375,1312.5899658203125,1293.0,1301.47998046875,995500
1295.3399658203125,1295.3399658203125,1308.72998046875,1291.4100341796875,1305.6199951171875,1385700
1306.68994140625,1306.68994140625,1311.31005859375,1298.1300048828125,1299.1800537109375,1036200
1313.550048828125,1313.550048828125,1314.800048828125,1305.0899658203125,1309.8599853515625,1069700
1312.989990234375,1312.989990234375,1318.3599853515625,1309.6300048828125,1315.0,995600
